host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,high_demand,amenities_count,host_days_active,days_since_last_review,days_since_first_review,Wifi,Kitchen,Refrigerator,Air conditioning,Heating,Washer,Dryer,TV,Private entrance,Smoke alarm,Fire extinguisher,Iron,Shampoo,Dishwasher,Pool,Elevator,Breakfast,Pets allowed,Paid parking on premises,Free parking on premises,Bikes,property_category
within an hour,95-100%,90-100%,t,2,2,t,Centrum-West,Private room,2,1.0,1.0,1.0,3,365,3.0,4,11,16,207,475,38,3,4.86,4.92,4.91,4.93,4.9,4.92,4.75,t,2,0,2,0,3.05,1,34,4746,0-1 month,>10 years,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within a day,95-100%,90-100%,t,1,1,t,Oud-Oost,Private room,2,1.0,1.0,1.0,3,1125,3.0,2,32,59,334,271,18,0,4.87,4.94,4.83,4.93,4.93,4.79,4.73,f,1,0,1,0,1.72,1,18,4740,1-6 months,>10 years,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,apartment
within a few hours,95-100%,90-100%,t,1,1,t,Centrum-West,Entire home/apt,2,1.5,1.0,1.0,3,1125,3.0,9,32,49,247,333,51,0,4.77,4.77,4.72,4.86,4.84,4.88,4.58,f,1,1,0,0,2.15,1,44,5150,1-6 months,>10 years,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,apartment
within an hour,95-100%,0-49%,f,2,3,t,Oud-Oost,Entire home/apt,2,1.0,1.0,1.0,28,1125,28.0,0,0,0,0,50,0,0,4.55,4.85,4.06,4.91,4.86,4.85,4.44,f,1,1,0,0,0.32,0,29,4721,>4 years,>10 years,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,3,3,t,Centrum-Oost,Entire home/apt,4,1.0,2.0,1.0,4,21,4.0,0,0,0,0,32,0,0,4.63,4.69,4.63,4.84,4.88,4.91,4.66,f,3,2,1,0,0.21,0,18,4836,1-2 years,>10 years,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,luxury_apartments
within a few hours,95-100%,70-89%,f,2,2,t,Westerpark,Entire home/apt,16,2.5,10.0,26.0,2,30,2.0,30,59,84,269,103,2,0,4.86,4.82,4.69,4.86,4.88,4.58,4.48,f,2,2,0,0,0.69,1,27,4717,6 months-1 year,>10 years,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,3,3,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,3,21,3.0,0,0,0,0,6,0,0,4.83,4.8,5.0,5.0,5.0,5.0,5.0,f,3,2,1,0,0.04,0,18,4836,1-2 years,>10 years,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,3,3,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,3,10,3.0,0,0,0,0,36,0,0,4.75,4.69,4.69,4.94,4.92,4.92,4.64,f,3,2,1,0,0.28,0,11,4836,1-2 years,>10 years,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,apartment
within a few hours,95-100%,70-89%,f,1,1,t,Centrum-West,Entire home/apt,2,1.0,1.0,1.0,3,15,3.0,11,26,56,312,95,5,0,4.78,4.75,4.8,4.91,4.93,4.94,4.62,f,1,1,0,0,0.62,0,50,4713,1-6 months,>10 years,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Oostelijk Havengebied - Indische Buurt,Private room,2,1.5,1.0,2.0,3,28,3.0,4,30,30,30,397,32,2,4.91,4.93,4.99,4.97,4.98,4.73,4.8,f,1,0,1,0,2.08,1,36,5918,0-1 month,>10 years,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,t,1,1,t,Centrum-West,Private room,2,1.0,1.0,1.0,3,356,3.0,0,0,0,0,292,25,3,4.92,4.9,4.94,4.95,4.92,4.89,4.77,f,1,0,1,0,1.86,1,51,5373,0-1 month,>10 years,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,standard_apartments
within an hour,95-100%,90-100%,t,2,2,t,Centrum-West,Private room,2,1.0,1.0,1.0,2,730,2.0,0,4,9,87,662,94,11,4.88,4.9,4.87,4.94,4.94,4.94,4.83,f,2,0,2,0,3.8,1,20,5322,0-1 month,>10 years,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,t,2,2,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,2,730,2.0,0,1,6,89,781,83,5,4.81,4.88,4.83,4.92,4.92,4.87,4.79,f,2,0,2,0,4.67,1,20,5322,0-1 month,>10 years,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.0,2.0,1.0,3,730,3.0,0,0,0,0,42,0,0,4.71,4.68,4.49,4.95,4.9,4.68,4.5,f,1,1,0,0,0.24,0,31,5235,2-4 years,>10 years,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,50-69%,f,1,1,t,Buitenveldert - Zuidas,Entire home/apt,4,1.5,2.0,2.0,3,1125,3.0,4,4,4,4,5,3,0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,f,1,1,0,0,0.3,0,38,5211,6 months-1 year,1-2 years,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,t,1,2,t,Centrum-West,Entire home/apt,3,1.0,2.0,2.0,3,1125,3.0,13,22,36,220,570,55,3,4.93,4.93,4.93,4.96,4.97,4.98,4.78,f,1,1,0,0,3.32,1,51,5206,0-1 month,>10 years,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,standard_apartments
