id,listing_url,scrape_id,last_scraped,source,name,description,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
822548964367945912,https://www.airbnb.com/rooms/822548964367945912,20241212051318,2024-12-12,city scrape,"Large room w/ private bath, great location",You will enjoy easy access to everything from this centrally located place.  A large comfortable bed and private bathroom in a quiet building and a friendly couple to give you tips about Barcelona.,https://a0.muscache.com/pictures/hosting/Hosting-822548964367945912/original/cc1e76f6-a334-48ed-9178-629c724e6688.jpeg,4805189,https://www.airbnb.com/users/show/4805189,Beth,2013-01-22,"Barcelona, Spain",Travel enthusiast,within a few hours,100.0,93.0,t,https://a0.muscache.com/im/pictures/user/User-4805189/original/670ed354-5588-4339-b3de-296b5155f362.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4805189/original/670ed354-5588-4339-b3de-296b5155f362.jpeg?aki_policy=profile_x_medium,2.0,2.0,"['email', 'phone']",t,t,la Vila de Gràcia,Gràcia,41.39737,2.15614,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Refrigerator"", ""Bed linens"", ""Freezer"", ""Essentials"", ""Private BBQ grill: gas"", ""Hot water kettle"", ""Clothing storage: wardrobe and dresser"", ""Wine glasses"", ""Elevator"", ""Microwave"", ""Private patio or balcony"", ""Lock on bedroom door"", ""Stainless steel single oven"", ""Kitchen"", ""Hot water"", ""Baking sheet"", ""Blender"", ""Cooking basics"", ""Drying rack for clothing"", ""Cleaning available during stay"", ""Shampoo"", ""AC - split type ductless system"", ""Room-darkening shades"", ""City skyline view"", ""Dining table"", ""Toaster"", ""Shared beach access"", ""Outdoor furniture"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Bidet"", ""Heating - split type ductless system"", ""Extra pillows and blankets"", ""Host greets you"", ""Cleaning products"", ""Smoke alarm"", ""Single level home"", ""Outdoor dining area"", ""Portable fans"", ""Laundromat nearby"", ""Dishwasher"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Body soap"", ""Dishes and silverware"", ""First aid kit"", ""Conditioner"", ""Books and reading material"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Board games"", ""Fast wifi \u2013 94 Mbps"", ""Iron"", ""Beach essentials"", ""Coffee maker: Nespresso"", ""Barbecue utensils"", ""Stainless steel gas stove""]",180.0,2,14,2,2,14,14,2.0,14.0,t,20,50,80,183,2024-12-12,10,6,0,2023-05-21,2024-09-14,5.0,5.0,4.9,5.0,5.0,5.0,4.9,Exempt,f,1,0,1,0,0.52
17384433,https://www.airbnb.com/rooms/17384433,20241212051318,2024-12-12,city scrape,Nice Apartment       .,"The apartment has 3 double rooms with fan. Living dining room with air conditioning, Tv 40'', two bathrooms, kitchen equipped with dishwasher, refrigerator, oven, coffee machine, kettle, microwave and toaster, balcony/gallery.<br /><br />The apartment is provided with towels, sheets, shower gel, shampoo, BREAKFAST: (sugar, coffee, tea and muffins or similar)<br /><br />It has everything you need to make your stay comfortable!!!",https://a0.muscache.com/pictures/prohost-api/Hosting-17384433/original/9f7ba72f-ebe8-4ce4-a122-5e39dcf00bfb.jpeg,665793,https://www.airbnb.com/users/show/665793,Nicolás,2011-06-05,"Barcelona, Spain",,within an hour,100.0,100.0,f,https://a0.muscache.com/im/pictures/user/3baef7b5-032c-4f42-9916-9ff8ca6c4fba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3baef7b5-032c-4f42-9916-9ff8ca6c4fba.jpg?aki_policy=profile_x_medium,15.0,18.0,"['email', 'phone']",t,t,la Nova Esquerra de l'Eixample,Eixample,41.38185,2.14868,Entire rental unit,Entire home/apt,5,2.0,2 baths,3.0,3.0,"[""Refrigerator"", ""Smart lock"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Self check-in"", ""Elevator"", ""Microwave"", ""Kitchen"", ""Hot water"", ""Washer"", ""Ethernet connection"", ""Wifi"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Dining table"", ""TV"", ""Extra pillows and blankets"", ""Heating"", ""Oven"", ""Dishwasher"", ""Shower gel"", ""Hangers"", ""Body soap"", ""Dishes and silverware"", ""Crib"", ""Clothing storage"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Stove"", ""Paid parking off premises"", ""Iron"", ""Beach essentials"", ""Coffee maker""]",83.0,2,10,2,4,365,365,2.2,365.0,t,12,22,32,237,2024-12-12,252,35,0,2017-04-07,2024-11-07,4.49,4.56,4.59,4.76,4.73,4.66,4.42,HUTB009476,t,12,12,0,0,2.69
578707342086876000,https://www.airbnb.com/rooms/578707342086876000,20241212051318,2024-12-12,city scrape,Wonderful 2-bd apart with balcony. Plaza Cataluña,"The Collection Barcelona welcomes you to this comfortable 2-bedroom apartment located next to Plaza Catalunya, the heart of Barcelona. <br /><br />The apartment can accommodate up to 4 guests, with a living area that features a relaxing sofa and a flat screen TV, dining area, and fully-equipped kitchen with all the appliances. This apartment has a great balcony ideal to enjoy Barcelona's summer days. <br /><br />The apartment is 3 minutes from Metro Plaza de Catalunya (Red Line L1 & Green Line L3).",https://a0.muscache.com/pictures/prohost-api/Hosting-578707342086876000/original/65e7786c-1708-417e-b34d-ff245e346796.jpeg,410060534,https://www.airbnb.com/users/show/410060534,Adam,2021-06-30,"Barcelona, Spain","Hey! Adam here! I love welcoming guests from all over the world to stay and enjoy the city where I was born and raised. Explore Barcelona from one of my amazingly located apartments, enjoy the sights, the Spanish-Catalan atmosphere and immerse on a local experience during your holidays.  

I am working together with a professional team of people managing the apartments, available 24/7 during your stay and with the same focus on personal and attentive services. All my apartments are in Eixample district, an ideal spot for culture and gastronomy lovers, the perfect area to explore the city and enjoy from the catalan atmosphere. 

Looking forward to host you :)",within an hour,100.0,100.0,f,https://a0.muscache.com/im/pictures/user/88ad5c19-4697-4c99-b22c-1b1ac17f6d6a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/88ad5c19-4697-4c99-b22c-1b1ac17f6d6a.jpg?aki_policy=profile_x_medium,26.0,30.0,"['email', 'phone']",t,t,la Dreta de l'Eixample,Eixample,41.3879,2.16965,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Refrigerator"", ""Bed linens"", ""Hot water kettle"", ""Elevator"", ""Microwave"", ""Kitchen"", ""Hot water"", ""Washer"", ""Wifi"", ""Cooking basics"", ""Air conditioning"", ""Room-darkening shades"", ""Toaster"", ""TV"", ""Dryer"", ""Heating"", ""Oven"", ""Dishwasher"", ""Hangers"", ""Dishes and silverware"", ""Patio or balcony"", ""Hair dryer"", ""Private entrance"", ""Stove"", ""Iron"", ""Coffee maker""]",96.0,4,31,2,4,31,31,3.7,31.0,t,9,23,53,321,2024-12-12,116,31,4,2022-04-09,2024-11-29,4.44,4.48,4.38,4.58,4.71,4.96,4.32,HUTB-002259,t,26,26,0,0,3.55
16247733,https://www.airbnb.com/rooms/16247733,20241212051318,2024-12-12,city scrape,Two bedroom superior apartment Paseo de Gracia,"Bright spacious apartment in the most premium location of Barcelona. 110 m2, 2 double bedroom, 2 bathroom Passeig de Gracia apartment located in the very heart of Barcelona. The apartment is absolutely beautiful, designed in a trendy minimalist design that gives the it clean and spacious feeling. License: HUTB 012668 - 69",https://a0.muscache.com/pictures/32f60936-5e6f-444f-a21f-cd18ed0399f5.jpg,8130906,https://www.airbnb.com/users/show/8130906,YouStylish,2013-08-13,"Barcelona, Spain","We’re a small company dedicated to making your stay unforgettable. Our stylish, fully equipped apartments offer comfort and convenience in prime locations of Barcelona. From personalized service and local tips to high standards of cleanliness, we ensure you feel at home. Whether it’s a romantic getaway, family vacation, or business trip, experience the best of Barcelona with us!",within an hour,94.0,95.0,f,https://a0.muscache.com/im/pictures/user/User-8130906/original/14865912-fb46-4d6d-9b0b-a87cbfe24556.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-8130906/original/14865912-fb46-4d6d-9b0b-a87cbfe24556.jpeg?aki_policy=profile_x_medium,35.0,39.0,"['email', 'phone']",t,t,la Dreta de l'Eixample,Eixample,41.38947,2.16895,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,"[""Refrigerator"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Free dryer \u2013 In unit"", ""Elevator"", ""Microwave"", ""Kitchen"", ""Hot water"", ""High chair"", ""Wifi"", ""Cooking basics"", ""Shampoo"", ""TV"", ""Carbon monoxide alarm"", ""Heating"", ""Oven"", ""Host greets you"", ""Smoke alarm"", ""Single level home"", ""Pets allowed"", ""Dishwasher"", ""Hangers"", ""Dishes and silverware"", ""Crib"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Stove"", ""Paid parking off premises"", ""Coffee maker"", ""Iron"", ""Central air conditioning""]",104.0,1,1125,2,3,1125,1125,2.9,1125.0,t,4,17,35,204,2024-12-12,15,2,0,2017-03-24,2024-07-29,4.73,4.8,4.73,4.6,4.67,5.0,4.67,HUTB-012668,f,35,35,0,0,0.16
53929705,https://www.airbnb.com/rooms/53929705,20241212051318,2024-12-12,city scrape,Experience El Born Lifestlye in our 1 Bedroom unit,"The apartment of 45m2 located in El Born , WIFI, AC, TV and fully equipped kitchen. You will find next to the apartment supermarkets, lots of leisure spots, public transport, bars, restaurants and entertainment. Also located 10min walking distance from Ciutadella Park and La Catedral",https://a0.muscache.com/pictures/miso/Hosting-53929705/original/991558b8-9224-4d7c-ba13-d502eec520ff.jpeg,66296022,https://www.airbnb.com/users/show/66296022,Suzy,2016-04-08,"Barcelona, Spain",,within an hour,100.0,64.0,f,https://a0.muscache.com/im/pictures/user/223a2947-865a-4f3f-b826-7ac4154e5f72.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/223a2947-865a-4f3f-b826-7ac4154e5f72.jpg?aki_policy=profile_x_medium,64.0,114.0,"['email', 'phone']",t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38342,2.181,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"[""Refrigerator"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Microwave"", ""Clothing storage: walk-in closet"", ""Kitchen"", ""Hot water"", ""Washer"", ""Wifi"", ""Cooking basics"", ""Air conditioning"", ""Dining table"", ""TV"", ""Heating"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Private entrance""]",79.0,32,330,32,32,330,330,32.0,330.0,t,9,39,69,159,2024-12-12,0,0,0,Unknown,Unknown,4.71,4.77,4.75,4.86,4.86,4.85,4.575,Unknown,f,63,63,0,0,0.78
991838676335572971,https://www.airbnb.com/rooms/991838676335572971,20241212051318,2024-12-12,city scrape,Prumi's House,"The Apartment is located in city centre where almost all the tourist is walking ,1 minut to la rambla main street , shopping,casino,bar, food lovers very centerlize connect ,easy to reach all nearby popular place with placa catluña metro stop and Liceu Metro stop",https://a0.muscache.com/pictures/hosting/Hosting-991838676335572971/original/01dda5b0-a48b-435b-8d6b-7b90cf6ed7da.jpeg,538455147,https://www.airbnb.com/users/show/538455147,Mihir,2023-09-22,"Barcelona, Spain",,within an hour,100.0,97.0,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,1.0,1.0,['phone'],f,t,el Raval,Ciutat Vella,41.38097626145194,2.1701910097047508,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Hot water"", ""Washer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Clothing storage"", ""Oven"", ""Smoke alarm"", ""First aid kit"", ""Cooking basics"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Lock on bedroom door"", ""Toaster"", ""Kitchen""]",89.0,31,365,31,31,365,365,31.0,365.0,t,29,59,89,89,2024-12-12,0,0,0,Unknown,Unknown,4.71,4.77,4.75,4.86,4.86,4.85,4.575,Unknown,f,1,0,1,0,0.78
51182433,https://www.airbnb.com/rooms/51182433,20241212051318,2024-12-12,previous scrape,Catalonia Portal de l'Àngel - Double with terrace,"Welcome to Catalonia Portal de l'Àngel! This centrally located hotel is the ideal place to spend a great holiday and experience the essence of the city of Barcelona. It is located in Portal de l'Àngel, a pedestrian street and a well-known shopping area. With a sober and elegant design, these rooms have all the services and comfort you need to enjoy a pleasant stay. Furthermore these rooms also have a magnific terrace. Their size is 22 m2.",https://a0.muscache.com/pictures/d8d9b815-cbae-4197-887a-2e40c3c4ff87.jpg,413276651,https://www.airbnb.com/users/show/413276651,Catalonia Portal De L'Àngel,2021-07-16,"Barcelona, Spain","En Catalonia Hotels & Resorts contamos con 75 establecimientos en más de 20 destinos, siendo una de las cadenas hoteleras líderes en España. Somos una cadena moderna e innovadora, en la que se destacan las excelentes ubicaciones de nuestros hoteles. El equipo humano es nuestro eje principal para ofrecerte un trato exquisito y tu máxima satisfacción. ¡Disfruta de tu estancia!",within an hour,100.0,100.0,f,https://a0.muscache.com/im/pictures/user/User-413276651/original/6532a356-3df5-4189-8dfb-1b866ab62f7a.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-413276651/original/6532a356-3df5-4189-8dfb-1b866ab62f7a.png?aki_policy=profile_x_medium,4.0,4.0,"['email', 'phone']",t,t,el Barri Gòtic,Ciutat Vella,41.385487,2.172849,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Pool"", ""TV"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Air conditioning"", ""Paid parking off premises""]",70.0,1,1125,1,3,7,7,1.0,7.0,t,27,55,81,345,2024-12-12,3,0,0,2021-12-27,2022-06-18,5.0,4.67,5.0,5.0,5.0,5.0,4.67,HB-004036,t,4,0,4,0,0.08
49169071,https://www.airbnb.com/rooms/49169071,20241212051318,2024-12-12,city scrape,Stylish Apartment with Medieval Origins,"A perfect combination of high ceilings, wooden beams dating from the 18th century and a modern decor in the purest eclectic style located between the most charismatic neighborhoods of the city, the bohemian air of the Born and the history of the Gothic.",https://a0.muscache.com/pictures/prohost-api/Hosting-49169071/original/41f3e86f-fe76-47e4-84b8-df288d003f56.jpeg,250042982,https://www.airbnb.com/users/show/250042982,HiGuests,2019-03-20,"Barcelona, Spain","Hello! We are Higuests, a start-up dedicated to the management of Holiday Homes for short, medium and long term rentals. First, we help you find the perfect accommodation; second, you spend a care-free holiday! We take care of everything related to your stay (check in, cleaning, maintenance, guest services, reservations... etc.) so that you can focus on enjoying your holiday. HiGuests operates in Barcelona, Seville and Girona.

Experience the services and luxury of hotels via our local properties! We have options that suit every taste, and we’re eager to see which one is suitable for you!

Are you ready for your next trip? We look forward to seeing you at HiGuests!


",within a few hours,100.0,55.0,f,https://a0.muscache.com/im/pictures/user/14d80237-1de1-44df-aaff-6cbfba7f5d63.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/14d80237-1de1-44df-aaff-6cbfba7f5d63.jpg?aki_policy=profile_x_medium,54.0,55.0,"['email', 'phone']",t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.384792,2.179467,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,"[""Refrigerator"", ""Bed linens"", ""Freezer"", ""Essentials"", ""Long term stays allowed"", ""Induction stove"", ""Clothing storage: closet"", ""Hot water kettle"", ""Wine glasses"", ""Elevator"", ""Microwave"", ""Private patio or balcony"", ""Kitchen"", ""Hot water"", ""Wifi"", ""Drying rack for clothing"", ""Shampoo"", ""AC - split type ductless system"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Dining table"", ""Toaster"", ""Heating"", ""Oven"", ""Cleaning products"", ""40 inch HDTV"", ""Dishwasher"", ""Shower gel"", ""Hangers"", ""Body soap"", ""Dishes and silverware"", ""Crib"", ""Conditioner"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Iron"", ""Coffee maker""]",62.0,32,1125,14,32,1125,1125,31.2,1125.0,t,1,7,37,310,2024-12-12,3,1,0,2021-07-31,2024-08-01,4.67,5.0,4.67,4.0,4.67,4.33,4.33,Exempt,f,52,52,0,0,0.07
32775177,https://www.airbnb.com/rooms/32775177,20241212051318,2024-12-12,previous scrape,"Cozy Apartment, 2BR, by Las Ramblas","Cozy, confortable, in an authenthic old town flat in the best location with tipical ceiling which is so characteristic in Barcelona. The building is historic, but renovated, also the flat, with 2 separate bedrooms, few steps away of the famous Ramblas and Plaza del Pi.",https://a0.muscache.com/pictures/1c05008a-5b57-436f-8ea9-0b1947aa424f.jpg,246517619,https://www.airbnb.com/users/show/246517619,Maja,2019-03-03,"Barcelona, Spain",,within an hour,100.0,97.0,f,https://a0.muscache.com/im/pictures/user/fb94a6e2-6ece-4acc-82a4-3597a30246a1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fb94a6e2-6ece-4acc-82a4-3597a30246a1.jpg?aki_policy=profile_x_medium,1.0,1.0,['email'],t,f,el Barri Gòtic,Ciutat Vella,41.38238,2.17358,Entire home,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""TV"", ""Stainless steel oven"", ""Washer"", ""Bed linens"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Hangers"", ""Iron"", ""Dishes and silverware"", ""Kitchen""]",70.0,31,1125,31,31,1125,1125,31.0,1125.0,Unknown,0,0,0,0,2024-12-12,0,0,0,Unknown,Unknown,4.71,4.77,4.75,4.86,4.86,4.85,4.575,Unknown,f,1,1,0,0,0.78
1211597096730172655,https://www.airbnb.com/rooms/1211597096730172655,20241212051318,2024-12-12,city scrape,habitación doble en el centro,This listing has a strategic location - it will be very easy to plan your visit!<br /><br />it is a private room in an apartment shared with two other guests..<br /><br />is located in the center of Raval.<br /><br />no elevator located on the 4th floor,https://a0.muscache.com/pictures/hosting/Hosting-1211597096730172655/original/25ea258b-a27f-4825-b9b3-51afc1a8d00f.jpeg,564109606,https://www.airbnb.com/users/show/564109606,Miguel Angel,2024-02-26,"Barcelona, Spain",,within a day,100.0,98.0,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,2.0,2.0,['phone'],f,t,el Raval,Ciutat Vella,41.3801045,2.1669361,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""Lock on bedroom door"", ""Wifi"", ""Host greets you"", ""First aid kit"", ""Kitchen""]",40.0,2,365,2,2,365,365,2.0,365.0,t,24,54,84,174,2024-12-12,9,9,0,2024-09-14,2024-11-05,4.78,4.56,4.78,4.44,4.56,4.33,4.67,Exempt,f,2,0,2,0,3.0
